post_type,timestamp,likes,comments,shares,state
static_image,2024-12-03 00:08:24.710643,558,46,57,Delhi
carousel,2024-12-03 00:52:24.739304,602,40,44,Manipur
static_image,2024-12-03 01:16:24.730051,871,47,34,Maharashtra
reel,2024-12-03 01:17:24.717359,1421,203,93,Telangana
static_image,2024-12-03 04:33:24.713248,509,58,17,Tamil Nadu
static_image,2024-12-03 04:50:24.695690,675,38,58,Delhi
carousel,2024-12-03 06:01:24.719964,1092,105,84,Odisha
carousel,2024-12-03 07:00:24.700061,521,49,26,Assam
carousel,2024-12-03 07:00:24.702968,534,48,26,Uttar Pradesh
carousel,2024-12-03 07:00:24.703554,535,33,41,Madhya Pradesh
static_image,2024-12-03 07:00:24.708162,639,56,32,Tamil Nadu
static_image,2024-12-03 07:00:24.723177,779,96,36,Tamil Nadu
carousel,2024-12-03 07:00:24.735425,701,97,44,Gujarat
carousel,2024-12-03 07:00:24.741728,577,53,15,Meghalaya
static_image,2024-12-03 08:00:24.688766,880,75,30,Tamil Nadu
static_image,2024-12-03 08:00:24.690873,592,103,38,Uttar Pradesh
reel,2024-12-03 08:00:24.693619,1894,181,95,Telangana
static_image,2024-12-03 08:00:24.705110,657,73,49,Gujarat
static_image,2024-12-03 08:00:24.711799,519,73,37,Punjab
carousel,2024-12-03 08:00:24.721244,1040,152,80,Telangana
static_image,2024-12-03 08:00:24.725821,737,94,29,Kerala
carousel,2024-12-03 08:00:24.730926,936,68,52,Kerala
reel,2024-12-03 08:00:24.736073,1012,86,105,Bihar
static_image,2024-12-03 08:00:24.737411,612,80,61,Telangana
static_image,2024-12-03 08:00:24.738736,510,55,34,Telangana
static_image,2024-12-03 08:28:24.708863,785,67,42,Maharashtra
static_image,2024-12-03 09:00:24.694868,1021,52,58,Delhi
reel,2024-12-03 09:00:24.696909,1680,119,116,Telangana
carousel,2024-12-03 09:00:24.701926,862,57,38,Karnataka
carousel,2024-12-03 09:00:24.709650,624,61,17,Odisha
carousel,2024-12-03 09:00:24.711887,798,94,77,Tamil Nadu
reel,2024-12-03 09:27:24.729797,1237,191,197,Telangana
reel,2024-12-03 09:36:24.721728,1294,79,50,Haryana
carousel,2024-12-03 09:55:24.721068,638,43,8,Himachal Pradesh
reel,2024-12-03 10:00:24.696325,1293,162,109,Kerala
carousel,2024-12-03 10:00:24.699163,582,68,34,Andhra Pradesh
reel,2024-12-03 10:00:24.700516,812,293,149,West Bengal
carousel,2024-12-03 10:00:24.703014,750,42,39,Jharkhand
reel,2024-12-03 10:00:24.712800,1664,118,103,Gujarat
reel,2024-12-03 10:00:24.718448,1149,228,65,Delhi
carousel,2024-12-03 10:00:24.725157,858,98,47,Maharashtra
carousel,2024-12-03 10:00:24.725755,1141,70,44,Delhi
carousel,2024-12-03 10:00:24.727889,586,98,63,Telangana
static_image,2024-12-03 11:15:24.732998,1097,52,50,Gujarat
static_image,2024-12-03 11:30:24.696349,986,103,71,West Bengal
reel,2024-12-03 11:30:24.707105,1958,226,175,Delhi
carousel,2024-12-03 11:30:24.717425,810,94,14,Uttar Pradesh
reel,2024-12-03 11:30:24.719221,2771,285,220,Uttar Pradesh
static_image,2024-12-03 11:30:24.722387,1132,123,81,Uttarakhand
reel,2024-12-03 11:30:24.724308,1577,157,110,Delhi
static_image,2024-12-03 11:30:24.728213,993,109,41,Andhra Pradesh
carousel,2024-12-03 11:30:24.728920,641,102,43,Haryana
carousel,2024-12-03 11:30:24.736661,855,51,21,Kerala
reel,2024-12-03 11:30:24.742520,1847,98,165,Delhi
static_image,2024-12-03 13:30:24.688231,475,53,43,Kerala
static_image,2024-12-03 13:30:24.691887,766,80,60,Delhi
static_image,2024-12-03 13:30:24.694097,729,43,69,Delhi
carousel,2024-12-03 13:30:24.695857,604,22,38,Sikkim
carousel,2024-12-03 13:30:24.697030,747,70,37,Jharkhand
carousel,2024-12-03 13:30:24.697449,888,59,22,Haryana
reel,2024-12-03 13:30:24.702150,1322,177,71,West Bengal
reel,2024-12-03 13:30:24.705507,1853,136,168,West Bengal
carousel,2024-12-03 13:30:24.725025,698,58,28,Odisha
reel,2024-12-03 13:30:24.726910,1520,170,75,Karnataka
static_image,2024-12-03 13:30:24.728476,708,66,73,Tamil Nadu
static_image,2024-12-03 13:30:24.733242,564,85,79,Telangana
static_image,2024-12-03 13:30:24.739886,691,62,9,Kerala
carousel,2024-12-03 13:44:24.723458,1097,71,25,Tamil Nadu
static_image,2024-12-03 15:19:24.734281,913,76,42,Mizoram
carousel,2024-12-03 15:26:24.697981,1033,178,77,Madhya Pradesh
static_image,2024-12-03 16:23:24.701613,777,52,36,Karnataka
static_image,2024-12-03 18:52:24.725887,949,66,53,Gujarat
reel,2024-12-03 19:12:24.739908,2093,168,190,Haryana
reel,2024-12-03 19:54:24.713691,1533,183,91,Assam
carousel,2024-12-03 20:46:24.741187,526,93,27,Nagaland
static_image,2024-12-03 21:00:24.729425,553,55,23,Odisha
reel,2024-12-03 21:12:24.700847,1888,144,108,Punjab
carousel,2024-12-03 21:17:24.704864,694,119,38,Haryana
reel,2024-12-03 21:21:24.686423,1210,171,100,Kerala
static_image,2024-12-03 21:27:24.732621,1164,138,36,Delhi
carousel,2024-12-03 21:36:24.727354,670,70,37,Maharashtra
reel,2024-12-03 23:03:24.732156,1536,146,117,Karnataka
carousel,2024-12-04 00:08:24.688112,1053,144,31,Gujarat
carousel,2024-12-04 00:43:24.702645,702,62,27,Karnataka
static_image,2024-12-04 01:34:24.728021,591,47,27,Bihar
