post_id,post_type,platform,category,likes,shares,comments,views,engagement_rate,region,language,festival_relevance,festival_season,relevant_festivals,timestamp,month,day_of_week,ad_spend,age_group,gender
1,static_image,Facebook,Travel,71,799,85,1391,0.21,Gurgaon Urban,Bengali,No,Low,Vasant Panchami,2024-02-13 13:29:08,February,Tuesday,3300.19,18-24,Female
2,static_image,YouTube,Education,4765,1026,652,10503,0.22,Rural Maharashtra West,Urdu,Yes,High,"Diwali, Bhai Dooj",2024-11-27 04:08:00,November,Wednesday,3566.03,18-24,Male
3,reel,Instagram,Food,2608,487,334,9885,0.17,Rural Bihar,Marathi,No,Low,"Christmas, New Year's Eve",2024-12-03 23:51:52,December,Tuesday,1164.39,55+,Male
4,video,Facebook,Social Issues,3996,845,366,7112,0.14,Rural Gujarat,English,No,Low,Eid al-Adha,2024-07-14 04:31:12,July,Sunday,553.54,55+,Male
5,reel,Instagram,Education,3394,469,456,3138,0.04,Rural Karnataka South,Marathi,No,Low,Ganesh Chaturthi,2024-09-15 16:33:25,September,Sunday,2820.27,35-44,Other
6,static_image,YouTube,Fashion,1443,169,403,7218,0.03,Rural Punjab,Tamil,No,Medium,"Baisakhi, Ram Navami",2024-04-10 05:54:02,April,Wednesday,2971.82,18-24,Male
7,video,YouTube,Sports,735,46,358,3641,0.17,Gurgaon Urban,Malayalam,No,Low,Ganesh Chaturthi,2024-09-04 17:12:05,September,Wednesday,4393.94,55+,Male
8,carousel,Instagram,Social Issues,4687,898,105,10917,0.23,Bengaluru Suburban,Hindi,No,Medium,"Holi, Maha Shivaratri",2024-03-24 02:56:24,March,Sunday,3866.57,45-54,Female
9,static_image,YouTube,Sports,2703,487,40,9064,0.25,Rural Karnataka South,Punjabi,No,Low,Eid al-Adha,2024-07-24 02:01:07,July,Wednesday,3330.16,35-44,Other
10,video,Instagram,Technology,3907,928,100,13671,0.06,Coimbatore Urban,Bengali,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-05 14:31:27,October,Saturday,2535.79,18-24,Male
11,video,YouTube,Education,5545,718,238,5008,0.11,Bengaluru Suburban,Hinglish,No,Medium,"Lohri, Pongal, Republic Day",2024-01-20 09:17:38,January,Saturday,4340.9,45-54,Other
12,reel,Facebook,Sports,4275,34,119,5055,0.04,Rural Maharashtra East,Punjabi,Yes,Low,"Christmas, New Year's Eve",2024-12-09 18:14:58,December,Monday,394.79,35-44,Female
13,reel,Facebook,Music,3679,664,501,8749,0.15,Rural UP East,Odia,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-22 09:55:15,August,Thursday,2765.4,25-34,Male
14,static_image,YouTube,Education,2049,184,467,8973,0.01,Rural UP West,Bhojpuri,Yes,Low,Eid al-Adha,2024-07-07 13:45:53,July,Sunday,2463.76,35-44,Female
15,carousel,Instagram,Travel,631,254,204,5565,0.02,Rural Karnataka South,Odia,No,Medium,"Holi, Maha Shivaratri",2024-03-13 21:27:45,March,Wednesday,4173.93,25-34,Other
16,static_image,Instagram,Politics,1347,427,75,1601,0.02,Mumbai Suburban,Odia,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-31 02:39:40,May,Friday,4862.16,18-24,Female
17,static_image,YouTube,Music,4284,1231,532,10947,0.43,Delhi NCR Urban,Marathi,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-30 13:40:08,October,Wednesday,4424.76,35-44,Male
18,reel,Instagram,Fashion,351,597,582,5008,0.28,Rural Punjab,Gujarati,Yes,Medium,"Lohri, Pongal, Republic Day",2024-01-24 18:00:26,January,Wednesday,185.28,45-54,Male
19,static_image,Facebook,Food,2815,165,103,12379,0.42,Rural Tamil Nadu North,Odia,Yes,High,"Diwali, Bhai Dooj",2024-11-20 20:09:53,November,Wednesday,1378.7,35-44,Female
20,video,Instagram,Music,964,67,229,11298,0.02,Mysuru Urban,Bengali,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-16 21:50:05,August,Friday,1261.05,25-34,Male
21,reel,Facebook,Travel,4210,627,156,2815,0.19,Mumbai Suburban,Malayalam,No,Low,Ganesh Chaturthi,2024-09-10 13:58:31,September,Tuesday,252.88,45-54,Female
